"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"1","France","FR",200.81,140.89,1.23,30.8,0.07,20.67,7.68,0.41,0.37,13.8,1.11,0.14,0.37,0.6,1.2,0.65,1.02,0.11,0.02,0.53,0.32,0.04,0.08,0.42,2011
"2","Croatia","HR",557.07,399.15,3.55,88.65,0.21,62.03,6.98,0,0.24,10.3,3.66,0.72,1,1.93,3.21,1.74,1.63,0.18,0.05,1.43,1.02,0.16,0.44,1.24,2011
"3","Hungary","HU",637.15,485.76,3.73,93.24,0.15,43.47,13.75,0.05,0.89,40.64,2.83,0.24,1.15,1.44,2.98,2,1.16,0.13,0.05,1.64,0.76,0.1,0.31,0.8,2011
"4","Austria","AT",225.22,183.81,0.98,24.61,0.04,11.3,4.27,0.27,0.96,57.58,0.76,0.05,0.3,0.41,0.91,0.51,0.8,0.09,0.01,0.42,0.22,0.03,0.07,0.29,2011
"5","Belgium","BE",295.42,243.6,0.92,22.93,0.06,18.74,9.35,0.47,0.33,24.52,0.91,0.14,0.37,0.4,1.04,0.65,0.81,0.09,0.01,0.53,0.21,0.03,0.05,0.29,2011
"6","Bulgaria","BG",1710.15,1434.41,7.32,182.92,0.27,79.12,13.23,0,0.47,29.6,17.56,13.94,2.33,1.3,6.02,4.05,3.11,0.34,0.1,3.32,0.69,0.18,0.75,1.52,2011
"7","Switzerland","CH",73.6,55.33,0.4,9.99,0.02,5.71,2.18,0.07,0.33,9.39,0.33,0.02,0.11,0.21,0.35,0.18,0.18,0.02,0.01,0.15,0.11,0.01,0.02,0.14,2011
"8","Cyprus","CY",428.35,358.77,1.9,47.48,0.05,13.93,7.38,0,0.79,5.74,3.09,1.25,0.84,1,1.96,1.46,0.39,0.04,0.03,1.19,0.53,0.07,0.15,0.43,2011
"9","Czechia","CZ",770.68,629.33,3.55,88.84,0.13,38.94,12.93,0.06,0.59,25.19,2.94,0.96,0.96,1.01,2.81,1.68,1.71,0.19,0.05,1.37,0.53,0.07,0.15,0.89,2011
"10","Germany","DE",325.1,282.53,0.91,22.68,0.05,15.17,3.32,0.12,1.28,27.7,1.15,0.2,0.47,0.48,1.31,0.82,0.73,0.08,0.01,0.67,0.25,0.05,0.09,0.41,2011
"11","Denmark","DK",427.16,363.28,1.37,34.35,0.09,26.04,3.08,0.04,0.36,46.42,7.51,3.1,3.74,0.67,7.21,6.52,0.83,0.09,0.02,5.34,0.35,0.29,0.34,0.58,2011
"12","Estonia","EE",1401.86,1263.18,2.96,74.02,0.18,53.47,11.06,0,0.12,146.93,8.9,5.37,2.22,1.31,5.13,3.86,2.61,0.29,0.04,3.17,0.69,1.14,2.24,0.94,2011
"13","Greece","EL",590.75,478.24,2.39,59.76,0.1,28.81,23.29,0.62,0.03,9.89,4.69,1.9,2.09,0.71,4.43,3.64,1.62,0.18,0.03,2.98,0.37,0.23,0.41,0.58,2011
"14","Ireland","IE",335.31,212.79,3.18,79.54,0.13,38.38,4.2,0.1,0.29,6.96,1.82,0.11,0.38,1.34,1.24,0.66,0.22,0.02,0.04,0.54,0.7,0.03,0.12,0.51,2011
"15","Spain","ES",301.77,231.31,1.59,39.68,0.05,16.03,14.42,0.09,0.24,13.7,1.7,0.29,0.61,0.81,1.67,1.06,1.01,0.11,0.02,0.87,0.42,0.08,0.14,0.48,2011
"16","Finland","FI",376.87,314.27,1.16,28.99,0.09,26.83,6.62,0.02,0.14,164.1,1.51,0.39,0.75,0.36,1.75,1.31,0.79,0.09,0.02,1.08,0.19,0.07,0.14,0.33,2011
"17","Iceland","IS",483.65,365.72,2.58,64.59,0.1,29.99,15.48,7.57,0.31,0.03,11.29,8.2,2.09,1,5.37,3.64,10.28,1.13,0.04,2.99,0.52,0.15,0.24,0.55,2011
"18","Portugal","PT",383.84,293.13,2.55,63.67,0.07,19.51,7.29,0.06,0.19,39.08,1.89,0.39,0.81,0.69,2.25,1.41,1.13,0.12,0.04,1.16,0.37,0.24,0.49,0.68,2011
"19","Romania","RO",970.77,658.99,8.39,209.63,0.32,95.95,5.68,0.11,0.41,18.03,6.97,2.79,1.27,2.91,3.91,2.21,3.18,0.35,0.12,1.81,1.53,0.21,0.52,1.23,2011
"20","Serbia","RS",NA,1571.15,11.04,276.02,0.12,37.14,0,NA,0,24.86,20.49,14.94,3.24,2.31,8.78,5.65,6.07,0.67,0.15,4.63,1.21,0.55,0.98,2.31,2011
"21","Sweden","SE",145.97,117.23,0.54,13.57,0.04,12.25,2.18,0.59,0.15,107.21,0.72,0.1,0.35,0.27,0.98,0.61,0.5,0.05,0.01,0.5,0.14,0.05,0.08,0.3,2011
"22","Slovenia","SI",510.42,421.83,2.47,61.74,0.07,21.37,4.28,0.62,0.56,21.04,2.4,0.36,1.06,0.99,2.85,1.85,2.48,0.27,0.03,1.51,0.52,0.1,0.15,0.7,2011
"23","Slovakia","SK",607.68,511.03,2.27,56.75,0.1,31.1,8.16,0.31,0.32,80.88,2.51,1.01,0.74,0.76,2.71,1.28,2.9,0.32,0.03,1.05,0.4,0.06,0.14,1.08,2011
"24","Turkey","TR",NA,521.44,3.81,95.24,0.19,57.59,NA,NA,NA,NA,7.11,3.81,1.09,2.21,3.78,1.9,2.23,0.25,0.05,1.55,1.16,NA,NA,1.58,2011
"25","UnitedKingdom","UK",284.62,231.38,1.4,35.07,0.04,11.1,6.46,0.24,0.37,9.17,1.13,0.3,0.57,0.27,1.48,0.99,0.54,0.06,0.02,0.81,0.14,0.04,0.07,0.41,2011
"26","Norway","NO",199.15,172.86,0.61,15.19,0.03,7.85,2.27,0.82,0.15,15.11,1.32,0.24,0.9,0.17,2.04,1.57,0.7,0.08,0.01,1.29,0.09,0.1,0.12,0.38,2011
"27","Italy","IT",266.92,216.74,1.19,29.74,0.04,11.3,7.7,1.12,0.32,11.11,1.19,0.29,0.42,0.47,1.22,0.74,0.46,0.05,0.02,0.61,0.25,0.06,0.08,0.42,2011
"28","Lithuania","LT",681.74,437.49,4.73,118.21,0.39,117.48,8.29,0,0.27,54.99,4.7,0.67,1.68,2.35,4.28,2.94,1,0.11,0.07,2.41,1.23,0.16,0.35,1.16,2011
"29","Luxembourg","LU",190.13,168.22,0.56,14.05,0.02,7.13,0.53,0,0.19,5.45,0.67,0.05,0.38,0.25,0.94,0.66,0.37,0.04,0.01,0.54,0.13,0.02,0.04,0.23,2011
"30","Latvia","LV",605.55,438.11,3.52,88.11,0.23,68.44,10.46,0,0.43,144.24,3.3,0.18,1.68,1.45,4.77,2.92,2.18,0.24,0.05,2.4,0.76,0.33,0.87,1.55,2011
"31","Malta","MT",506.7,446.85,1.12,28.08,0.03,7.73,23.27,0,0.78,0.55,2.67,1.3,0.92,0.45,2.04,1.6,1.1,0.12,0.02,1.31,0.24,0.08,0.17,0.3,2011
"32","Netherlands","NL",308.86,260.04,1.25,31.29,0.05,13.51,3.4,0.4,0.21,21.07,1.03,0.12,0.53,0.38,1.32,0.92,0.51,0.06,0.02,0.76,0.2,0.03,0.05,0.33,2011
"33","Poland","PL",1113.36,890.46,5.54,138.49,0.22,65.89,18.36,0.04,0.12,61.08,5.5,1.96,1.8,1.74,5.14,3.14,2.75,0.3,0.08,2.57,0.91,0.25,0.46,1.62,2011
"34","France","FR",195.12,136.58,1.19,29.64,0.07,20.47,7.65,0.42,0.36,14.38,1.09,0.14,0.35,0.59,1.11,0.61,0.79,0.09,0.02,0.5,0.31,0.03,0.08,0.39,2012
"35","Croatia","HR",531.62,375.01,3.62,90.56,0.2,58.49,7.3,0,0.24,14.09,3.45,0.62,0.91,1.92,3.02,1.58,1.66,0.18,0.05,1.3,1.01,0.15,0.44,1.2,2012
"36","Hungary","HU",594.42,438.9,3.84,95.89,0.15,43.79,14.88,0.05,0.91,35.81,2.71,0.2,1.05,1.46,2.82,1.83,1.11,0.12,0.05,1.5,0.77,0.09,0.26,0.81,2012
"37","Austria","AT",209.41,169.36,0.94,23.55,0.04,10.88,4.46,0.18,0.97,59.31,0.73,0.05,0.27,0.41,0.85,0.48,0.76,0.08,0.01,0.39,0.21,0.03,0.07,0.27,2012
"38","Belgium","BE",277.96,228.01,0.88,22.1,0.06,18.13,9.06,0.33,0.33,25.83,0.85,0.12,0.35,0.38,0.95,0.6,0.61,0.07,0.01,0.49,0.2,0.03,0.05,0.27,2012
"39","Bulgaria","BG",1553.48,1281.7,6.99,174.83,0.28,82.26,14.25,0,0.44,41.56,12.16,8.67,2.2,1.29,5.73,3.84,2.88,0.32,0.1,3.15,0.68,0.18,0.71,1.47,2012
"40","Switzerland","CH",72.14,54.25,0.38,9.57,0.02,5.61,2.23,0.07,0.4,9.75,0.32,0.02,0.1,0.2,0.33,0.18,0.17,0.02,0.01,0.15,0.11,0.01,0.02,0.13,2012
"41","Cyprus","CY",401.28,331.14,1.91,47.74,0.05,13.82,7.74,0,0.84,5.01,2.7,0.97,0.77,0.96,1.82,1.34,0.34,0.04,0.03,1.1,0.51,0.05,0.11,0.41,2012
